BHID,From,To,Cu %,Cu ppm,Ag ppm,As ppm,Au ppm,Ce ppm,Dy ppm,Er ppm,Eu ppm,Gd ppm,Hg ppm,Ho ppm,La ppm,Lu ppm,Nd ppm,Pb ppm,Pr ppm,Sc ppm,Sm ppm,Tb ppm,Tm ppm,Y ppm,Yb ppm,Zn ppm
BH1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,1,2,0.03,342,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.91,ND,ND,ND,ND,11.66,ND,ND,ND,6.76,1.55,11.71
BH1,2,3,0.02,191,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.04,ND,ND,ND,ND,10.35,ND,ND,ND,6.6,1.53,8.55
BH1,3,4,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,4,5,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,5,6,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,6,7,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,7,8,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,8,9,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,9,10,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,10,11,0.07,665,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.59,ND,ND,ND,ND,6.55,ND,ND,ND,5.82,1.08,8.31
BH1,11,12,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,12,13,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,13,14,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,14,15,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,15,16,0.02,171,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6.54,ND,ND,ND,6.37,1.4,16.05
BH1,16,17,0.16,1637,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,21.95,ND,ND,ND,7.66,2.76,25.83
BH1,17,18,0.27,2655,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.64,ND,ND,ND,ND,16.43,ND,ND,ND,8.83,2.15,18.71
BH1,18,19,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,19,20,0.01,90,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.79,ND,ND,ND,ND,14.26,ND,ND,ND,6.45,1.79,13.82
BH1,20,21,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,21,22,0.05,472,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12.69,ND,ND,ND,9.1,1.99,15.92
BH1,22,23,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,23,24,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,24,25,0.02,155,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12.98,ND,ND,ND,9.18,1.73,15.17
BH1,25,26,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,26,27,0.03,250,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,13.24,ND,ND,ND,7.87,2.03,14.36
BH1,27,28,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,28,29,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,29,30,0.01,74,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.76,ND,ND,ND,ND,13.12,ND,ND,ND,8.71,1.88,10.8
BH1,30,31,0.02,220,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.27,ND,ND,ND,ND,13.97,ND,ND,ND,8.98,1.91,13.24
BH1,31,32,0.02,239,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.62,ND,ND,ND,ND,13.65,ND,ND,ND,10,1.96,8.83
BH1,32,33,0.25,2510,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10.52,ND,ND,ND,7.95,2.09,15.39
BH1,33,34,0.12,1158,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4.39,ND,ND,ND,ND,11.67,ND,ND,ND,8.59,2.22,11.25
BH1,34,35,0.03,346,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.69,ND,ND,ND,ND,10.09,ND,ND,ND,8.06,1.92,10.24
BH1,35,36,0.03,301,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.09,ND,ND,ND,ND,10.27,ND,ND,ND,7.54,1.85,10.45
BH1,36,37,0.05,532,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.55,ND,ND,ND,ND,10.99,ND,ND,ND,8.42,1.96,11.14
BH1,37,38,0.04,412,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11.15,ND,ND,ND,5.89,1.48,11.56
BH1,38,39,0.08,769,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10.29,ND,ND,ND,7.97,1.96,11.35
BH1,39,40,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,40,41,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,41,42,0.1,969,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.43,ND,ND,ND,ND,12.58,ND,ND,ND,8.19,1.73,11.01
BH1,42,43,0.03,321,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.86,ND,ND,ND,ND,11.95,ND,ND,ND,11.19,2.09,9.56
BH1,43,44,0.01,134,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.71,ND,ND,ND,ND,11.17,ND,ND,ND,10.04,1.94,8.94
BH1,44,45,0.02,206,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.91,ND,ND,ND,ND,11.25,ND,ND,ND,8.43,1.81,9.36
BH1,45,46,0.08,799,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.11,ND,ND,ND,ND,13.36,ND,ND,ND,9.75,2.08,10.9
BH1,46,47,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,47,48,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,48,49,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,49,50,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,50,51,0.03,314,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.38,ND,ND,ND,ND,20.11,ND,ND,ND,7.27,2.76,19.3
BH1,51,52,0,14.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.91,ND,ND,ND,ND,16.21,ND,ND,ND,7.81,2.39,17.83
BH1,52,53,0.01,64.67,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.92,ND,ND,ND,ND,12.69,ND,ND,ND,11.95,2.07,10.71
BH1,53,54,0.04,391.57,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.05,ND,ND,ND,ND,10.39,ND,ND,ND,8.34,1.67,10.95
BH1,54,55,0.37,3699.23,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.23,ND,ND,ND,ND,10.58,ND,ND,ND,11.03,3.04,18
