BHID,From,To,Rock Type/ Alterations,Symbol,Rtype,Description,
BH1,0,1,Basalt,B-Gr,1,Dark greenish grey  fine grained comparatively soft & and highly weathered hydrothermally altered basalt,
BH1,1,2,Basalt,B-Gr,1,Dark greenish grey  fine grained comparatively soft & and highly weathered hydrothermally altered basalt,
BH1,2,3,Basalt,B-Gr,1,Dark greenish grey  fine grained comparatively soft & and highly weathered hydrothermally altered basalt,
BH1,3,4,Basalt,B-Gr,1,Dark greenish grey  fine grained comparatively soft & and highly weathered hydrothermally altered basalt,
BH1,4,5,Basalt,B-Gr,1,Dark greenish grey  fine grained comparatively soft & and highly weathered hydrothermally altered basalt,
BH1,5,6,Basalt,B-Gr,1,Dark greenish grey  fine grained comparatively soft & and highly weathered hydrothermally altered basalt,
BH1,6,7,Basalt,B-Gr,1,Dark greenish grey  fine grained comparatively soft & and highly weathered hydrothermally altered basalt,
BH1,7,8,Basalt,B-Gr,1,Dark greenish grey  fine grained comparatively soft & and highly weathered hydrothermally altered basalt,
BH1,8,9,Basalt,B-Gr,1,Dark greenish grey  fine grained comparatively soft & and highly weathered hydrothermally altered basalt,
BH1,9,10,Basalt,B-S,3,Dark greenish grey fine grained soft fractured and fragmented hydrothermaly altered basalt at places contain serpentine,
BH1,10,11,Basalt,B-S,3,Dark greenish grey fine grained soft fractured and fragmented hydrothermaly altered basalt at places contain serpentine,
BH1,11,12,Basalt,B-S,3,Dark greenish grey fine grained soft fractured and fragmented hydrothermaly altered basalt at places contain serpentine,
BH1,12,13,Basalt,B-S,3,Dark greenish grey fine grained soft fractured and fragmented hydrothermaly altered basalt ,
BH1,13,14,Basalt,B-S,3,Dark greenish grey fine grained soft fractured and fragmented hydrothermaly altered basalt ,
BH1,14,15,Basalt,B-S,3,Dark greenish grey fine grained soft fractured and fragmented hydrothermaly altered basalt ,
BH1,15,16,Basalt,B-S,3,Dark greenish grey fine grained soft fractured and fragmented hydrothermaly altered basalt ,
BH1,16,17,Basalt,B-S,3,Dark greenish grey fine grained soft fractured and fragmented hydrothermaly altered basalt ,
BH1,17,18,Basalt,B-S,3,Dark greenish grey fine grained hydrothermaly altered basalt at places contain serpentine,
BH1,18,19,Basalt,B-S,3,Dark greenish grey fine grained hydrothermaly altered basalt at places contain serpentine,
BH1,19,20,Basalt,B-S,3,Dark greenish grey fine grained hydrothermaly altered basalt at places contain serpentine,
