BHID,From,To,X,Y,Z,surface,series,id,order_series
BH1,0,1,582682.34,3639203.55,1802.0,rock1,series2,2,2
BH1,1,2,582682.34,3639203.55,1803.0,rock1,series2,2,2
BH1,2,3,582682.34,3639203.55,1804.0,rock1,series2,2,2
BH1,3,4,582682.34,3639203.55,1805.0,rock1,series2,2,2
BH1,4,5,582682.34,3639203.55,1806.0,rock1,series2,2,2
BH1,5,6,582682.34,3639203.55,1807.0,rock1,series2,2,2
BH1,6,7,582682.34,3639203.55,1808.0,rock1,series2,2,2
BH1,7,8,582682.34,3639203.55,1809.0,rock1,series2,2,2
BH1,8,9,582682.34,3639203.55,1810.0,rock1,series2,2,2
BH1,9,10,582682.34,3639203.55,1811.0,rock1,series2,2,2
BH1,10,11,582682.34,3639203.55,1812.0,rock1,series2,2,2
BH1,11,12,582682.34,3639203.55,1813.0,rock1,series2,2,2
BH1,12,13,582682.34,3639203.55,1814.0,rock1,series2,2,2
BH1,13,14,582682.34,3639203.55,1815.0,rock1,series2,2,2
BH1,14,15,582682.34,3639203.55,1816.0,rock1,series2,2,2
BH1,15,16,582682.34,3639203.55,1817.0,rock1,series2,2,2
BH1,16,17,582682.34,3639203.55,1818.0,rock1,series2,2,2
BH1,17,18,582682.34,3639203.55,1819.0,rock1,series2,2,2
BH1,18,19,582682.34,3639203.55,1820.0,rock1,series2,2,2
BH1,19,20,582682.34,3639203.55,1821.0,rock1,series2,2,2
BH1,20,21,582682.34,3639203.55,1822.0,rock1,series2,2,2
BH1,21,22,582682.34,3639203.55,1823.0,rock1,series2,2,2
BH1,22,23,582682.34,3639203.55,1824.0,rock1,series2,2,2
BH1,23,24,582682.34,3639203.55,1825.0,rock1,series2,2,2
BH1,24,25,582682.34,3639203.55,1826.0,rock1,series2,2,2
BH1,25,26,582682.34,3639203.55,1827.0,rock1,series2,2,2
BH1,26,27,582682.34,3639203.55,1828.0,rock1,series2,2,2
BH1,27,28,582682.34,3639203.55,1829.0,rock1,series2,2,2
BH1,28,29,582682.34,3639203.55,1830.0,rock1,series2,2,2
BH1,29,30,582682.34,3639203.55,1831.0,rock1,series2,2,2
BH1,30,31,582682.34,3639203.55,1832.0,rock1,series2,2,2
BH1,31,32,582682.34,3639203.55,1833.0,rock1,series2,2,2
BH1,32,33,582682.34,3639203.55,1834.0,rock1,series2,2,2
BH1,33,34,582682.34,3639203.55,1835.0,rock1,series2,2,2
BH1,34,35,582682.34,3639203.55,1836.0,rock1,series2,2,2
BH1,35,36,582682.34,3639203.55,1837.0,rock1,series2,2,2
BH1,36,37,582682.34,3639203.55,1838.0,rock1,series2,2,2
BH1,37,38,582682.34,3639203.55,1839.0,rock1,series2,2,2
BH1,38,39,582682.34,3639203.55,1840.0,rock1,series2,2,2
BH1,39,40,582682.34,3639203.55,1841.0,rock1,series2,2,2
BH1,40,41,582682.34,3639203.55,1842.0,rock1,series2,2,2
BH1,41,42,582682.34,3639203.55,1843.0,rock1,series2,2,2
BH1,42,43,582682.34,3639203.55,1844.0,rock1,series2,2,2
BH1,43,44,582682.34,3639203.55,1845.0,rock1,series2,2,2
BH1,44,45,582682.34,3639203.55,1846.0,rock1,series2,2,2
BH1,45,46,582682.34,3639203.55,1847.0,rock1,series2,2,2
BH1,46,47,582682.34,3639203.55,1848.0,rock1,series2,2,2
BH1,47,48,582682.34,3639203.55,1849.0,rock1,series2,2,2
BH1,48,49,582682.34,3639203.55,1850.0,rock1,series2,2,2
BH1,49,50,582682.34,3639203.55,1851.0,rock1,series2,2,2
BH1,50,51,582682.34,3639203.55,1852.0,rock1,series2,2,2
BH1,51,52,582682.34,3639203.55,1853.0,rock1,series2,2,2
BH1,52,53,582682.34,3639203.55,1854.0,rock1,series2,2,2
BH1,53,54,582682.34,3639203.55,1855.0,rock1,series2,2,2
BH1,54,55,582682.34,3639203.55,1856.0,rock1,series2,2,2
BH1,55,56,582682.34,3639203.55,1857.0,rock1,series2,2,2
BH1,56,57,582682.34,3639203.55,1858.0,rock1,series2,2,2
BH1,57,58,582682.34,3639203.55,1859.0,rock1,series2,2,2
BH1,58,59,582682.34,3639203.55,1860.0,rock1,series2,2,2
BH1,59,60,582682.34,3639203.55,1861.0,rock1,series2,2,2
BH1,60,61,582682.34,3639203.55,1862.0,rock1,series2,2,2
BH1,61,62,582682.34,3639203.55,1863.0,rock1,series2,2,2
BH1,62,63,582682.34,3639203.55,1864.0,rock1,series2,2,2
BH1,63,64,582682.34,3639203.55,1865.0,rock1,series2,2,2
BH1,64,65,582682.34,3639203.55,1866.0,rock1,series2,2,2
BH1,65,66,582682.34,3639203.55,1867.0,rock1,series2,2,2
BH1,66,67,582682.34,3639203.55,1868.0,rock1,series2,2,2
BH1,67,68,582682.34,3639203.55,1869.0,rock1,series2,2,2
BH1,68,69,582682.34,3639203.55,1870.0,rock1,series2,2,2
BH1,69,70,582682.34,3639203.55,1871.0,rock1,series2,2,2
BH1,70,71,582682.34,3639203.55,1872.0,rock1,series2,2,2
BH1,71,72,582682.34,3639203.55,1873.0,rock1,series2,2,2
BH1,72,73,582682.34,3639203.55,1874.0,rock1,series2,2,2
BH1,73,74,582682.34,3639203.55,1875.0,rock1,series2,2,2
BH1,74,75,582682.34,3639203.55,1876.0,rock1,series2,2,2
BH1,75,76,582682.34,3639203.55,1877.0,rock1,series2,2,2
BH1,76,77,582682.34,3639203.55,1878.0,rock1,series2,2,2
BH1,77,78,582682.34,3639203.55,1879.0,rock1,series2,2,2
BH1,78,79,582682.34,3639203.55,1880.0,rock1,series2,2,2
BH1,79,80,582682.34,3639203.55,1881.0,rock1,series2,2,2
BH1,80,81,582682.34,3639203.55,1882.0,rock1,series2,2,2
BH1,81,82,582682.34,3639203.55,1883.0,rock1,series2,2,2
BH1,82,83,582682.34,3639203.55,1884.0,rock1,series2,2,2
BH1,83,84,582682.34,3639203.55,1885.0,rock1,series2,2,2
BH1,84,85,582682.34,3639203.55,1886.0,rock1,series2,2,2
BH1,85,86,582682.34,3639203.55,1887.0,rock1,series2,2,2
BH1,86,87,582682.34,3639203.55,1888.0,rock1,series2,2,2
BH1,87,88,582682.34,3639203.55,1889.0,rock1,series2,2,2
BH1,88,89,582682.34,3639203.55,1890.0,rock1,series2,2,2
BH1,89,90,582682.34,3639203.55,1891.0,rock1,series2,2,2
BH1,90,91,582682.34,3639203.55,1892.0,rock1,series2,2,2
BH1,91,92,582682.34,3639203.55,1893.0,rock1,series2,2,2
BH1,92,93,582682.34,3639203.55,1894.0,rock1,series2,2,2
BH1,93,94,582682.34,3639203.55,1895.0,rock1,series2,2,2
BH1,94,95,582682.34,3639203.55,1896.0,rock1,series2,2,2
BH1,95,96,582682.34,3639203.55,1897.0,rock1,series2,2,2
BH1,96,97,582682.34,3639203.55,1898.0,rock1,series2,2,2
BH1,97,98,582682.34,3639203.55,1899.0,rock1,series2,2,2
BH1,98,99,582682.34,3639203.55,1900.0,rock1,series2,2,2
BH1,99,100,582682.34,3639203.55,1901.0,rock1,series2,2,2
BH1,100,101,582682.34,3639203.55,1902.0,rock1,series2,2,2
BH1,101,102,582682.34,3639203.55,1903.0,rock1,series2,2,2
BH1,102,103,582682.34,3639203.55,1904.0,rock1,series2,2,2
BH1,103,104,582682.34,3639203.55,1905.0,rock1,series2,2,2
BH1,104,105,582682.34,3639203.55,1906.0,rock1,series2,2,2
BH1,105,106,582682.34,3639203.55,1907.0,rock1,series2,2,2
BH1,106,107,582682.34,3639203.55,1908.0,rock1,series2,2,2
BH1,107,108,582682.34,3639203.55,1909.0,rock1,series2,2,2
BH1,108,109,582682.34,3639203.55,1910.0,rock1,series2,2,2
BH1,109,110,582682.34,3639203.55,1911.0,rock1,series2,2,2
BH1,110,111,582682.34,3639203.55,1912.0,rock1,series2,2,2
BH1,111,112,582682.34,3639203.55,1913.0,rock1,series2,2,2
BH1,112,113,582682.34,3639203.55,1914.0,rock1,series2,2,2
BH1,113,114,582682.34,3639203.55,1915.0,rock1,series2,2,2
BH1,114,115,582682.34,3639203.55,1916.0,rock1,series2,2,2
BH1,115,116,582682.34,3639203.55,1917.0,rock1,series2,2,2
BH1,116,117,582682.34,3639203.55,1918.0,rock1,series2,2,2
BH1,117,118,582682.34,3639203.55,1919.0,rock1,series2,2,2
BH1,118,119,582682.34,3639203.55,1920.0,rock1,series2,2,2
BH1,119,120,582682.34,3639203.55,1921.0,rock1,series2,2,2
BH1,120,121,582682.34,3639203.55,1922.0,rock1,series2,2,2
BH1,121,122,582682.34,3639203.55,1923.0,rock1,series2,2,2
BH1,122,123,582682.34,3639203.55,1924.0,rock1,series2,2,2
BH1,123,124,582682.34,3639203.55,1925.0,rock1,series2,2,2
BH1,124,125,582682.34,3639203.55,1926.0,rock1,series2,2,2
BH1,125,126,582682.34,3639203.55,1927.0,rock1,series2,2,2
BH1,126,127,582682.34,3639203.55,1928.0,rock1,series2,2,2
BH1,127,128,582682.34,3639203.55,1929.0,rock1,series2,2,2
BH1,128,129,582682.34,3639203.55,1930.0,rock1,series2,2,2
BH1,129,130,582682.34,3639203.55,1931.0,rock1,series2,2,2
BH1,130,131,582682.34,3639203.55,1932.0,rock1,series2,2,2
BH1,131,132,582682.34,3639203.55,1933.0,rock1,series2,2,2
BH1,132,133,582682.34,3639203.55,1934.0,rock1,series2,2,2
BH1,133,134,582682.34,3639203.55,1935.0,rock1,series2,2,2
BH1,134,135,582682.34,3639203.55,1936.0,rock1,series2,2,2
BH1,135,136,582682.34,3639203.55,1937.0,rock1,series2,2,2
BH1,136,137,582682.34,3639203.55,1938.0,rock1,series2,2,2
BH1,137,138,582682.34,3639203.55,1939.0,rock1,series2,2,2
BH1,138,139,582682.34,3639203.55,1940.0,rock1,series2,2,2
BH1,139,140,582682.34,3639203.55,1941.0,rock1,series2,2,2
BH1,140,141,582682.34,3639203.55,1942.0,rock1,series2,2,2
BH1,141,142,582682.34,3639203.55,1943.0,rock1,series2,2,2
BH1,142,143,582682.34,3639203.55,1944.0,rock1,series2,2,2
BH1,143,144,582682.34,3639203.55,1945.0,rock1,series2,2,2
BH1,144,145,582682.34,3639203.55,1946.0,rock1,series2,2,2
BH1,145,146,582682.34,3639203.55,1947.0,rock1,series2,2,2
BH1,146,147,582682.34,3639203.55,1948.0,rock1,series2,2,2
BH1,147,148,582682.34,3639203.55,1949.0,rock1,series2,2,2
BH1,148,149,582682.34,3639203.55,1950.0,rock1,series2,2,2
BH1,149,150,582682.34,3639203.55,1951.0,rock1,series2,2,2
BH1,150,151,582682.34,3639203.55,1952.0,rock1,series2,2,2
BH1,151,152,582682.34,3639203.55,1953.0,rock1,series2,2,2
BH1,152,153,582682.34,3639203.55,1954.0,rock1,series2,2,2
BH1,153,154,582682.34,3639203.55,1955.0,rock1,series2,2,2
BH1,154,155,582682.34,3639203.55,1956.0,rock1,series2,2,2
BH1,155,156,582682.34,3639203.55,1957.0,rock1,series2,2,2
BH1,156,157,582682.34,3639203.55,1958.0,rock1,series2,2,2
BH1,157,158,582682.34,3639203.55,1959.0,rock1,series2,2,2
BH1,158,159,582682.34,3639203.55,1960.0,rock1,series2,2,2
BH1,159,160,582682.34,3639203.55,1961.0,rock1,series2,2,2
BH1,160,161,582682.34,3639203.55,1962.0,rock1,series2,2,2
BH1,161,162,582682.34,3639203.55,1963.0,rock1,series2,2,2
